mode: atomic
github.com/Songmu/gitrail/error.go:10.36,12.2 1 0
github.com/Songmu/gitrail/error.go:14.36,16.2 1 6
github.com/Songmu/gitrail/error.go:18.47,20.2 1 5
github.com/Songmu/gitrail/error.go:22.61,24.2 1 1
github.com/Songmu/gitrail/git.go:13.99,15.15 2 61
github.com/Songmu/gitrail/git.go:15.15,17.3 1 61
github.com/Songmu/gitrail/git.go:18.2,23.34 6 61
github.com/Songmu/gitrail/git.go:23.34,25.3 1 1
github.com/Songmu/gitrail/git.go:26.2,26.45 1 60
github.com/Songmu/gitrail/git.go:29.113,31.15 2 10
github.com/Songmu/gitrail/git.go:31.15,33.3 1 10
github.com/Songmu/gitrail/git.go:34.2,41.16 8 10
github.com/Songmu/gitrail/git.go:41.16,42.47 1 1
github.com/Songmu/gitrail/git.go:42.47,44.4 1 1
github.com/Songmu/gitrail/git.go:44.9,46.4 1 0
github.com/Songmu/gitrail/git.go:48.2,48.55 1 10
github.com/Songmu/gitrail/gitrail.go:15.84,26.39 10 10
github.com/Songmu/gitrail/gitrail.go:26.39,28.3 1 0
github.com/Songmu/gitrail/gitrail.go:29.2,29.10 1 10
github.com/Songmu/gitrail/gitrail.go:29.10,31.3 1 1
github.com/Songmu/gitrail/gitrail.go:32.2,32.18 1 9
github.com/Songmu/gitrail/gitrail.go:32.18,36.3 3 1
github.com/Songmu/gitrail/gitrail.go:37.2,37.18 1 8
github.com/Songmu/gitrail/gitrail.go:37.18,41.3 3 1
github.com/Songmu/gitrail/gitrail.go:43.2,50.16 2 7
github.com/Songmu/gitrail/gitrail.go:50.16,52.3 1 1
github.com/Songmu/gitrail/gitrail.go:54.2,54.14 1 6
github.com/Songmu/gitrail/gitrail.go:54.14,56.3 1 3
github.com/Songmu/gitrail/gitrail.go:57.2,57.38 1 3
github.com/Songmu/gitrail/gitrail.go:60.40,63.2 2 1
github.com/Songmu/gitrail/gitrail.go:65.54,67.16 2 3
github.com/Songmu/gitrail/gitrail.go:67.16,69.3 1 0
github.com/Songmu/gitrail/gitrail.go:70.2,70.30 1 3
github.com/Songmu/gitrail/gitrail.go:70.30,72.3 1 1
github.com/Songmu/gitrail/gitrail.go:73.2,73.45 1 2
github.com/Songmu/gitrail/gitrail.go:73.45,75.3 1 0
github.com/Songmu/gitrail/gitrail.go:76.2,76.35 1 2
github.com/Songmu/gitrail/gitrail.go:76.35,78.19 2 4
github.com/Songmu/gitrail/gitrail.go:79.14,80.39 1 1
github.com/Songmu/gitrail/gitrail.go:81.17,82.23 1 2
github.com/Songmu/gitrail/gitrail.go:82.23,84.5 1 0
github.com/Songmu/gitrail/gitrail.go:84.10,86.5 1 2
github.com/Songmu/gitrail/gitrail.go:87.16,88.39 1 1
github.com/Songmu/gitrail/gitrail.go:90.3,90.52 1 4
github.com/Songmu/gitrail/gitrail.go:90.52,92.4 1 0
github.com/Songmu/gitrail/gitrail.go:94.2,94.12 1 2
github.com/Songmu/gitrail/gitrail.go:105.54,107.35 2 3
github.com/Songmu/gitrail/gitrail.go:107.35,112.19 2 4
github.com/Songmu/gitrail/gitrail.go:113.14,114.35 1 1
github.com/Songmu/gitrail/gitrail.go:115.17,118.26 3 2
github.com/Songmu/gitrail/gitrail.go:119.16,120.39 1 1
github.com/Songmu/gitrail/gitrail.go:122.3,122.40 1 4
github.com/Songmu/gitrail/gitrail.go:122.40,124.4 1 0
github.com/Songmu/gitrail/gitrail.go:126.2,126.12 1 3
github.com/Songmu/gitrail/trail.go:48.84,56.2 1 0
github.com/Songmu/gitrail/trail.go:66.88,68.16 2 17
github.com/Songmu/gitrail/trail.go:68.16,70.3 1 1
github.com/Songmu/gitrail/trail.go:72.2,73.16 2 16
github.com/Songmu/gitrail/trail.go:73.16,75.3 1 2
github.com/Songmu/gitrail/trail.go:77.2,77.30 1 14
github.com/Songmu/gitrail/trail.go:77.30,82.3 1 4
github.com/Songmu/gitrail/trail.go:85.2,85.91 1 10
github.com/Songmu/gitrail/trail.go:85.91,87.3 1 1
github.com/Songmu/gitrail/trail.go:89.2,90.16 2 9
github.com/Songmu/gitrail/trail.go:90.16,92.3 1 0
github.com/Songmu/gitrail/trail.go:94.2,94.22 1 9
github.com/Songmu/gitrail/trail.go:94.22,96.17 2 9
